mandi_id,mandi_name,month_num,avg_modal_price,median_modal_price,min_modal_price,max_modal_price,avg_arrivals,observations,month_name,seasonal_index,month_rank,rs_above_worst_month,evidence,recommendation,best_month,best_month_price,rs_gain_if_wait_for_peak,forecast_mae_rs,forecast_mape_pct,price_range_low,price_range_high
M046,Kolhapur APMC,6,1443.8,1200.0,1000.0,2200.0,4024.0,73,Jun,95.4,8,446.0,Adequate,HOLD IF YOU CAN,Oct,2093.3,650.0,168.0,13.9,1243.0,1644.0
M046,Kolhapur APMC,7,1709.8,2200.0,1000.0,2500.0,3214.3,51,Jul,113.0,5,712.0,Adequate,GOOD TO SELL,Oct,2093.3,384.0,168.0,13.9,1472.0,1947.0
M046,Kolhapur APMC,8,1004.3,1000.0,800.0,1200.0,3741.6,23,Aug,66.4,11,6.0,Thin (<40 obs),STORE OR HOLD,Oct,2093.3,1089.0,168.0,13.9,865.0,1144.0
M046,Kolhapur APMC,9,2027.1,1000.0,800.0,3400.0,3321.5,48,Sep,134.0,2,1029.0,Adequate,SELL NOW,Oct,2093.3,66.0,168.0,13.9,1745.0,2309.0
M046,Kolhapur APMC,10,2093.3,2800.0,800.0,3500.0,3752.0,45,Oct,138.4,1,1095.0,Adequate,SELL NOW,Oct,2093.3,0.0,168.0,13.9,1802.0,2384.0
M046,Kolhapur APMC,11,1827.3,1050.0,900.0,3200.0,4680.6,44,Nov,120.8,3,829.0,Adequate,SELL NOW,Oct,2093.3,266.0,168.0,13.9,1573.0,2081.0
M046,Kolhapur APMC,12,1817.3,1850.0,1000.0,2800.0,4704.5,52,Dec,120.1,4,819.0,Adequate,SELL NOW,Oct,2093.3,276.0,168.0,13.9,1565.0,2070.0
M049,Lasalgaon(Niphad) APMC,1,1916.0,1850.0,1100.0,2551.0,4263.7,48,Jan,95.8,7,866.0,Adequate,HOLD IF YOU CAN,Nov,3161.0,1245.0,168.0,13.9,1650.0,2182.0
M049,Lasalgaon(Niphad) APMC,2,1750.5,1250.0,900.0,3150.0,6802.2,44,Feb,87.5,8,700.0,Adequate,HOLD IF YOU CAN,Nov,3161.0,1410.0,168.0,13.9,1507.0,1994.0
M049,Lasalgaon(Niphad) APMC,3,1329.6,1300.0,825.0,2350.0,4008.0,45,Mar,66.5,10,279.0,Adequate,STORE OR HOLD,Nov,3161.0,1831.0,168.0,13.9,1145.0,1514.0
M049,Lasalgaon(Niphad) APMC,4,1050.2,1131.0,761.0,1350.0,3580.6,43,Apr,52.5,12,0.0,Adequate,STORE OR HOLD,Nov,3161.0,2111.0,168.0,13.9,904.0,1196.0
M049,Lasalgaon(Niphad) APMC,5,1115.2,1100.0,850.0,1441.0,4156.0,47,May,55.8,11,65.0,Adequate,STORE OR HOLD,Nov,3161.0,2046.0,168.0,13.9,960.0,1270.0
M049,Lasalgaon(Niphad) APMC,6,1988.0,1700.0,1300.0,3200.0,4818.8,75,Jun,99.4,6,938.0,Adequate,HOLD IF YOU CAN,Nov,3161.0,1173.0,168.0,13.9,1712.0,2264.0
M049,Lasalgaon(Niphad) APMC,7,2244.9,2741.0,1300.0,3025.0,4836.6,53,Jul,112.3,4,1195.0,Adequate,GOOD TO SELL,Nov,3161.0,916.0,168.0,13.9,1933.0,2557.0
M049,Lasalgaon(Niphad) APMC,8,1428.4,1385.0,1270.0,1650.0,6880.8,18,Aug,71.4,9,378.0,Thin (<40 obs),STORE OR HOLD,Nov,3161.0,1733.0,168.0,13.9,1230.0,1627.0
M049,Lasalgaon(Niphad) APMC,9,2904.0,3950.0,1050.0,4900.0,4366.9,49,Sep,145.2,3,1854.0,Adequate,SELL NOW,Nov,3161.0,257.0,168.0,13.9,2500.0,3308.0
M049,Lasalgaon(Niphad) APMC,10,3016.5,4050.5,1000.0,4600.0,3505.9,42,Oct,150.8,2,1966.0,Adequate,SELL NOW,Nov,3161.0,144.0,168.0,13.9,2597.0,3436.0
M049,Lasalgaon(Niphad) APMC,11,3161.0,1700.0,950.0,5800.0,2424.2,43,Nov,158.1,1,2111.0,Adequate,SELL NOW,Nov,3161.0,0.0,168.0,13.9,2722.0,3600.0
M049,Lasalgaon(Niphad) APMC,12,2094.2,1951.0,950.0,4301.0,1513.8,53,Dec,104.7,5,1044.0,Adequate,GOOD TO SELL,Nov,3161.0,1067.0,168.0,13.9,1803.0,2385.0
M050,Lasalgaon(Vinchur) APMC,1,1865.7,1800.0,1080.0,2500.0,13575.0,51,Jan,95.7,7,772.0,Adequate,HOLD IF YOU CAN,Oct,2904.0,1038.0,168.0,13.9,1606.0,2125.0
M050,Lasalgaon(Vinchur) APMC,2,1706.8,1212.5,930.0,3100.0,14429.6,40,Feb,87.6,8,613.0,Adequate,HOLD IF YOU CAN,Oct,2904.0,1197.0,168.0,13.9,1470.0,1944.0
M050,Lasalgaon(Vinchur) APMC,3,1353.6,1280.0,875.0,2300.0,9599.6,37,Mar,69.5,10,260.0,Thin (<40 obs),STORE OR HOLD,Oct,2904.0,1550.0,168.0,13.9,1165.0,1542.0
M050,Lasalgaon(Vinchur) APMC,4,1093.7,1100.0,600.0,1300.0,6207.2,49,Apr,56.1,12,0.0,Adequate,STORE OR HOLD,Oct,2904.0,1810.0,168.0,13.9,942.0,1246.0
M050,Lasalgaon(Vinchur) APMC,5,1155.7,1122.5,1000.0,1400.0,10956.5,50,May,59.3,11,62.0,Adequate,STORE OR HOLD,Oct,2904.0,1748.0,168.0,13.9,995.0,1316.0
M050,Lasalgaon(Vinchur) APMC,6,1964.9,1600.0,1300.0,3200.0,13128.2,73,Jun,100.8,6,871.0,Adequate,GOOD TO SELL,Oct,2904.0,939.0,168.0,13.9,1692.0,2238.0
M050,Lasalgaon(Vinchur) APMC,7,2183.5,2662.5,1270.0,3050.0,10724.1,50,Jul,112.0,5,1090.0,Adequate,GOOD TO SELL,Oct,2904.0,720.0,168.0,13.9,1880.0,2487.0
M050,Lasalgaon(Vinchur) APMC,8,1430.0,1450.0,1270.0,1650.0,9580.6,21,Aug,73.4,9,336.0,Thin (<40 obs),STORE OR HOLD,Oct,2904.0,1474.0,168.0,13.9,1231.0,1629.0
M050,Lasalgaon(Vinchur) APMC,9,2664.7,1350.0,1050.0,4750.0,6186.9,46,Sep,136.7,3,1571.0,Adequate,SELL NOW,Oct,2904.0,239.0,168.0,13.9,2294.0,3035.0
M050,Lasalgaon(Vinchur) APMC,10,2904.0,4000.0,970.0,4550.0,4771.7,39,Oct,149.0,1,1810.0,Thin (<40 obs),SELL NOW,Oct,2904.0,0.0,168.0,13.9,2500.0,3308.0
M050,Lasalgaon(Vinchur) APMC,11,2829.8,1650.0,950.0,5725.0,6019.5,43,Nov,145.2,2,1736.0,Adequate,SELL NOW,Oct,2904.0,74.0,168.0,13.9,2436.0,3223.0
M050,Lasalgaon(Vinchur) APMC,12,2236.4,1900.0,1000.0,3800.0,7330.1,53,Dec,114.7,4,1143.0,Adequate,GOOD TO SELL,Oct,2904.0,668.0,168.0,13.9,1926.0,2547.0
M051,Lasalgaon APMC,1,1955.8,2000.0,1100.0,2500.0,24558.3,45,Jan,98.8,6,854.0,Adequate,HOLD IF YOU CAN,Nov,3127.6,1172.0,168.0,13.9,1684.0,2228.0
M051,Lasalgaon APMC,2,1777.7,1260.0,875.0,3100.0,24440.3,43,Feb,89.8,8,676.0,Adequate,HOLD IF YOU CAN,Nov,3127.6,1350.0,168.0,13.9,1531.0,2025.0
M051,Lasalgaon APMC,3,1422.3,1275.0,900.0,2351.0,12445.9,35,Mar,71.9,10,321.0,Thin (<40 obs),STORE OR HOLD,Nov,3127.6,1705.0,168.0,13.9,1225.0,1620.0
M051,Lasalgaon APMC,4,1101.3,1100.0,700.0,1350.0,11225.7,46,Apr,55.6,12,0.0,Adequate,STORE OR HOLD,Nov,3127.6,2026.0,168.0,13.9,948.0,1254.0
M051,Lasalgaon APMC,5,1190.1,1151.0,1000.0,1400.0,13731.6,47,May,60.1,11,89.0,Adequate,STORE OR HOLD,Nov,3127.6,1938.0,168.0,13.9,1025.0,1356.0
M051,Lasalgaon APMC,6,1949.5,1637.5,1350.0,3175.0,13734.9,74,Jun,98.5,7,848.0,Adequate,HOLD IF YOU CAN,Nov,3127.6,1178.0,168.0,13.9,1679.0,2220.0
M051,Lasalgaon APMC,7,2072.1,1538.0,1275.0,3100.0,12052.5,46,Jul,104.7,5,971.0,Adequate,GOOD TO SELL,Nov,3127.6,1056.0,168.0,13.9,1784.0,2360.0
M051,Lasalgaon APMC,8,1451.9,1400.0,1270.0,1701.0,14231.5,17,Aug,73.4,9,351.0,Thin (<40 obs),STORE OR HOLD,Nov,3127.6,1676.0,168.0,13.9,1250.0,1654.0
M051,Lasalgaon APMC,9,2694.8,1350.0,1080.0,4780.0,8456.4,44,Sep,136.2,2,1593.0,Adequate,SELL NOW,Nov,3127.6,433.0,168.0,13.9,2320.0,3069.0
M051,Lasalgaon APMC,10,2628.7,2525.0,1050.0,4600.0,6661.8,37,Oct,132.8,3,1527.0,Thin (<40 obs),SELL NOW,Nov,3127.6,499.0,168.0,13.9,2263.0,2994.0
M051,Lasalgaon APMC,11,3127.6,3501.0,1051.0,5851.0,7597.3,41,Nov,158.0,1,2026.0,Adequate,SELL NOW,Nov,3127.6,0.0,168.0,13.9,2693.0,3562.0
M051,Lasalgaon APMC,12,2376.6,2200.0,1015.0,3851.0,18063.5,46,Dec,120.1,4,1275.0,Adequate,SELL NOW,Nov,3127.6,751.0,168.0,13.9,2046.0,2707.0
M058,Mangal Wedha APMC,1,1963.5,2200.0,1100.0,2840.0,83.3,49,Jan,113.4,4,1020.0,Adequate,GOOD TO SELL,Sep,2522.3,559.0,168.0,13.9,1691.0,2236.0
M058,Mangal Wedha APMC,2,1670.2,1375.0,800.0,2700.0,113.0,42,Feb,96.4,8,727.0,Adequate,HOLD IF YOU CAN,Sep,2522.3,852.0,168.0,13.9,1438.0,1902.0
M058,Mangal Wedha APMC,3,1366.1,1400.0,700.0,2350.0,102.5,48,Mar,78.9,10,423.0,Adequate,STORE OR HOLD,Sep,2522.3,1156.0,168.0,13.9,1176.0,1556.0
M058,Mangal Wedha APMC,4,971.4,975.0,400.0,1440.0,96.6,50,Apr,56.1,11,28.0,Adequate,STORE OR HOLD,Sep,2522.3,1551.0,168.0,13.9,836.0,1106.0
M058,Mangal Wedha APMC,5,943.3,900.0,550.0,1600.0,59.0,51,May,54.5,12,0.0,Adequate,STORE OR HOLD,Sep,2522.3,1579.0,168.0,13.9,812.0,1074.0
M058,Mangal Wedha APMC,6,1746.1,1500.0,400.0,3100.0,88.7,64,Jun,100.8,7,803.0,Adequate,GOOD TO SELL,Sep,2522.3,776.0,168.0,13.9,1503.0,1989.0
M058,Mangal Wedha APMC,7,2111.2,1780.0,800.0,3160.0,77.2,40,Jul,121.9,3,1168.0,Adequate,SELL NOW,Sep,2522.3,411.0,168.0,13.9,1818.0,2405.0
M058,Mangal Wedha APMC,8,1453.5,1425.0,1270.0,1600.0,75.1,20,Aug,83.9,9,510.0,Thin (<40 obs),STORE OR HOLD,Sep,2522.3,1069.0,168.0,13.9,1251.0,1656.0
M058,Mangal Wedha APMC,9,2522.3,2300.0,500.0,5200.0,89.1,41,Sep,145.6,1,1579.0,Adequate,SELL NOW,Sep,2522.3,0.0,168.0,13.9,2172.0,2873.0
M058,Mangal Wedha APMC,10,1853.5,1750.0,600.0,3000.0,238.5,46,Oct,107.0,6,910.0,Adequate,GOOD TO SELL,Sep,2522.3,669.0,168.0,13.9,1596.0,2111.0
M058,Mangal Wedha APMC,11,1889.4,1200.0,450.0,4100.0,271.7,47,Nov,109.1,5,946.0,Adequate,GOOD TO SELL,Sep,2522.3,633.0,168.0,13.9,1627.0,2152.0
M058,Mangal Wedha APMC,12,2292.1,2300.0,500.0,4510.0,117.0,47,Dec,132.3,2,1349.0,Adequate,SELL NOW,Sep,2522.3,230.0,168.0,13.9,1973.0,2611.0
M066,Nasik APMC,1,1787.0,1800.0,1100.0,2600.0,2981.0,49,Jan,102.3,6,934.0,Adequate,GOOD TO SELL,Nov,2792.0,1005.0,168.0,13.9,1539.0,2035.0
M066,Nasik APMC,2,1736.6,1350.0,800.0,2900.0,3415.7,41,Feb,99.4,7,884.0,Adequate,HOLD IF YOU CAN,Nov,2792.0,1055.0,168.0,13.9,1495.0,1978.0
M066,Nasik APMC,3,1307.9,1300.0,750.0,2500.0,2686.8,45,Mar,74.9,9,455.0,Adequate,STORE OR HOLD,Nov,2792.0,1484.0,168.0,13.9,1126.0,1490.0
M066,Nasik APMC,4,947.0,950.0,700.0,1300.0,2652.4,45,Apr,54.2,11,95.0,Adequate,STORE OR HOLD,Nov,2792.0,1845.0,168.0,13.9,815.0,1079.0
M066,Nasik APMC,5,852.5,820.0,600.0,1300.0,4112.1,47,May,48.8,12,0.0,Adequate,STORE OR HOLD,Nov,2792.0,1940.0,168.0,13.9,734.0,971.0
M066,Nasik APMC,6,1690.0,1450.0,850.0,2800.0,3769.7,69,Jun,96.8,8,838.0,Adequate,HOLD IF YOU CAN,Nov,2792.0,1102.0,168.0,13.9,1455.0,1925.0
M066,Nasik APMC,7,1859.9,2425.0,750.0,2750.0,2594.3,50,Jul,106.5,5,1007.0,Adequate,GOOD TO SELL,Nov,2792.0,932.0,168.0,13.9,1601.0,2118.0
M066,Nasik APMC,8,1028.9,1050.0,725.0,1351.0,3245.5,21,Aug,58.9,10,176.0,Thin (<40 obs),STORE OR HOLD,Nov,2792.0,1763.0,168.0,13.9,886.0,1172.0
M066,Nasik APMC,9,2463.0,1050.0,800.0,4700.0,2505.5,49,Sep,141.0,3,1611.0,Adequate,SELL NOW,Nov,2792.0,329.0,168.0,13.9,2121.0,2805.0
M066,Nasik APMC,10,2565.0,3125.0,750.0,4750.0,1816.8,42,Oct,146.9,2,1713.0,Adequate,SELL NOW,Nov,2792.0,227.0,168.0,13.9,2208.0,2922.0
M066,Nasik APMC,11,2792.0,1375.0,850.0,5900.0,1399.1,41,Nov,159.9,1,1940.0,Adequate,SELL NOW,Nov,2792.0,0.0,168.0,13.9,2404.0,3180.0
M066,Nasik APMC,12,1925.4,1750.0,800.0,4000.0,1503.4,50,Dec,110.3,4,1073.0,Adequate,GOOD TO SELL,Nov,2792.0,867.0,168.0,13.9,1658.0,2193.0
M079,Pimpalgaon Baswant APMC,1,1813.0,1800.0,1050.0,2400.0,19492.4,50,Jan,91.1,7,680.0,Adequate,HOLD IF YOU CAN,Nov,3245.5,1432.0,168.0,13.9,1561.0,2065.0
M079,Pimpalgaon Baswant APMC,2,1665.9,1312.5,900.0,2950.0,22850.6,44,Feb,83.7,8,533.0,Adequate,STORE OR HOLD,Nov,3245.5,1580.0,168.0,13.9,1434.0,1897.0
M079,Pimpalgaon Baswant APMC,3,1347.6,1337.5,800.0,2260.0,15150.0,44,Mar,67.7,10,214.0,Adequate,STORE OR HOLD,Nov,3245.5,1898.0,168.0,13.9,1160.0,1535.0
M079,Pimpalgaon Baswant APMC,4,1133.3,1175.0,800.0,1350.0,23862.1,49,Apr,57.0,12,0.0,Adequate,STORE OR HOLD,Nov,3245.5,2112.0,168.0,13.9,976.0,1291.0
M079,Pimpalgaon Baswant APMC,5,1225.0,1150.0,1100.0,1550.0,30982.6,49,May,61.6,11,92.0,Adequate,STORE OR HOLD,Nov,3245.5,2020.0,168.0,13.9,1055.0,1395.0
M079,Pimpalgaon Baswant APMC,6,2029.8,1675.5,1425.0,3250.0,20363.7,76,Jun,102.0,6,896.0,Adequate,GOOD TO SELL,Nov,3245.5,1216.0,168.0,13.9,1748.0,2312.0
M079,Pimpalgaon Baswant APMC,7,2100.2,2075.0,1300.0,3100.0,14517.7,52,Jul,105.6,5,967.0,Adequate,GOOD TO SELL,Nov,3245.5,1145.0,168.0,13.9,1808.0,2392.0
M079,Pimpalgaon Baswant APMC,8,1435.2,1400.0,1275.0,1650.0,21225.9,22,Aug,72.1,9,302.0,Thin (<40 obs),STORE OR HOLD,Nov,3245.5,1810.0,168.0,13.9,1236.0,1635.0
M079,Pimpalgaon Baswant APMC,9,2655.7,1300.0,1150.0,4825.0,12517.6,45,Sep,133.5,3,1522.0,Adequate,SELL NOW,Nov,3245.5,590.0,168.0,13.9,2287.0,3025.0
M079,Pimpalgaon Baswant APMC,10,2818.5,2925.0,1100.0,4600.0,10050.4,42,Oct,141.7,2,1685.0,Adequate,SELL NOW,Nov,3245.5,427.0,168.0,13.9,2427.0,3210.0
M079,Pimpalgaon Baswant APMC,11,3245.5,3500.0,1050.0,6001.0,7926.6,42,Nov,163.1,1,2112.0,Adequate,SELL NOW,Nov,3245.5,0.0,168.0,13.9,2794.0,3697.0
M079,Pimpalgaon Baswant APMC,12,2406.5,2075.0,1150.0,5711.0,12302.4,52,Dec,120.9,4,1273.0,Adequate,SELL NOW,Nov,3245.5,839.0,168.0,13.9,2072.0,2741.0
M081,Pune(Manjri) APMC,1,1941.4,2200.0,600.0,3200.0,71.8,58,Jan,113.1,5,1050.0,Adequate,GOOD TO SELL,Dec,2368.3,427.0,168.0,13.9,1672.0,2211.0
M081,Pune(Manjri) APMC,2,1811.3,1400.0,900.0,3100.0,65.8,53,Feb,105.5,6,920.0,Adequate,GOOD TO SELL,Dec,2368.3,557.0,168.0,13.9,1560.0,2063.0
M081,Pune(Manjri) APMC,3,1543.1,1500.0,900.0,3500.0,62.5,58,Mar,89.9,8,652.0,Adequate,HOLD IF YOU CAN,Dec,2368.3,825.0,168.0,13.9,1329.0,1758.0
M081,Pune(Manjri) APMC,4,1089.7,1100.0,700.0,2000.0,64.4,58,Apr,63.5,10,199.0,Adequate,STORE OR HOLD,Dec,2368.3,1279.0,168.0,13.9,938.0,1241.0
M081,Pune(Manjri) APMC,5,890.9,900.0,600.0,1300.0,89.2,55,May,51.9,12,0.0,Adequate,STORE OR HOLD,Dec,2368.3,1477.0,168.0,13.9,767.0,1015.0
M081,Pune(Manjri) APMC,6,1514.6,1500.0,600.0,2800.0,87.9,89,Jun,88.2,9,624.0,Adequate,HOLD IF YOU CAN,Dec,2368.3,854.0,168.0,13.9,1304.0,1725.0
M081,Pune(Manjri) APMC,7,1789.7,2150.0,700.0,3000.0,59.8,58,Jul,104.3,7,899.0,Adequate,GOOD TO SELL,Dec,2368.3,579.0,168.0,13.9,1541.0,2038.0
M081,Pune(Manjri) APMC,8,972.7,900.0,600.0,1400.0,72.8,22,Aug,56.7,11,82.0,Thin (<40 obs),STORE OR HOLD,Dec,2368.3,1396.0,168.0,13.9,837.0,1108.0
M081,Pune(Manjri) APMC,9,2341.1,2400.0,800.0,4500.0,81.1,56,Sep,136.4,2,1450.0,Adequate,SELL NOW,Dec,2368.3,27.0,168.0,13.9,2016.0,2667.0
M081,Pune(Manjri) APMC,10,2059.6,2400.0,700.0,5000.0,62.8,52,Oct,120.0,4,1169.0,Adequate,SELL NOW,Dec,2368.3,309.0,168.0,13.9,1773.0,2346.0
M081,Pune(Manjri) APMC,11,2276.4,1000.0,700.0,5500.0,76.5,55,Nov,132.6,3,1385.0,Adequate,SELL NOW,Dec,2368.3,92.0,168.0,13.9,1960.0,2593.0
M081,Pune(Manjri) APMC,12,2368.3,2000.0,700.0,4800.0,65.9,60,Dec,138.0,1,1477.0,Adequate,SELL NOW,Dec,2368.3,0.0,168.0,13.9,2039.0,2697.0
M082,Pune(Moshi) APMC,1,1298.0,1250.0,900.0,1900.0,658.2,49,Jan,93.8,7,516.0,Adequate,HOLD IF YOU CAN,Sep,2104.9,807.0,168.0,13.9,1118.0,1478.0
M082,Pune(Moshi) APMC,2,1199.4,1000.0,700.0,2000.0,2097.2,45,Feb,86.7,8,417.0,Adequate,HOLD IF YOU CAN,Sep,2104.9,906.0,168.0,13.9,1033.0,1366.0
M082,Pune(Moshi) APMC,3,1010.8,850.0,650.0,2250.0,692.0,51,Mar,73.0,10,229.0,Adequate,STORE OR HOLD,Sep,2104.9,1094.0,168.0,13.9,870.0,1151.0
M082,Pune(Moshi) APMC,4,819.4,800.0,650.0,1200.0,658.4,49,Apr,59.2,11,37.0,Adequate,STORE OR HOLD,Sep,2104.9,1286.0,168.0,13.9,706.0,933.0
M082,Pune(Moshi) APMC,5,782.0,750.0,650.0,1300.0,672.6,50,May,56.5,12,0.0,Adequate,STORE OR HOLD,Sep,2104.9,1323.0,168.0,13.9,673.0,891.0
M082,Pune(Moshi) APMC,6,1313.5,1250.0,800.0,2250.0,626.4,78,Jun,94.9,6,531.0,Adequate,HOLD IF YOU CAN,Sep,2104.9,791.0,168.0,13.9,1131.0,1496.0
M082,Pune(Moshi) APMC,7,1667.6,1700.0,900.0,2500.0,533.5,51,Jul,120.5,5,886.0,Adequate,SELL NOW,Sep,2104.9,437.0,168.0,13.9,1436.0,1899.0
M082,Pune(Moshi) APMC,8,1064.0,1100.0,850.0,1300.0,599.6,25,Aug,76.9,9,282.0,Thin (<40 obs),STORE OR HOLD,Sep,2104.9,1041.0,168.0,13.9,916.0,1212.0
M082,Pune(Moshi) APMC,9,2104.9,2250.0,850.0,4900.0,615.8,51,Sep,152.1,1,1323.0,Adequate,SELL NOW,Sep,2104.9,0.0,168.0,13.9,1812.0,2397.0
M082,Pune(Moshi) APMC,10,1697.8,2000.0,650.0,3000.0,563.9,46,Oct,122.7,4,916.0,Adequate,SELL NOW,Sep,2104.9,407.0,168.0,13.9,1462.0,1934.0
M082,Pune(Moshi) APMC,11,1908.2,1150.0,500.0,4000.0,572.1,49,Nov,137.9,2,1126.0,Adequate,SELL NOW,Sep,2104.9,197.0,168.0,13.9,1643.0,2173.0
