"Date Wise Prices for Specified Commodity on December, 2024 for Commodity : Onion, State/UT : Maharashtra"
"Commodity : Onion, State/UT : Maharashtra"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
Market Name : AGRICULTURE PRODUCE MARKET COMITEE CHANDWAD
02/12/2024,907.6,Red,1000.0,5360.0,3350.0
03/12/2024,1208.2,Red,1000.0,5051.0,3080.0
04/12/2024,1034.3,Red,1500.0,4400.0,3250.0
05/12/2024,911.1,Red,1100.0,4322.0,3200.0
06/12/2024,960.8,Red,1200.0,5000.0,3350.0
07/12/2024,821.8,Red,500.0,4650.0,3400.0
09/12/2024,927.5,Red,1325.0,4650.0,3380.0
10/12/2024,1228.8,Red,1000.0,4600.0,3480.0
11/12/2024,1020.0,Red,1500.0,4551.0,3360.0
12/12/2024,1119.6,Red,1000.0,4520.0,3200.0
13/12/2024,1280.6,Red,1000.0,4326.0,3050.0
14/12/2024,1205.1,Red,1000.0,3552.0,2350.0
16/12/2024,1124.9,Red,1000.0,3000.0,2080.0
17/12/2024,1544.7,Red,1012.0,3100.0,2050.0
18/12/2024,1403.2,Red,952.0,3400.0,1900.0
19/12/2024,1438.8,Red,1000.0,2901.0,1680.0
20/12/2024,1370.2,Red,801.0,2461.0,1730.0
21/12/2024,1103.3,Red,852.0,2899.0,1780.0
23/12/2024,876.5,Red,700.0,2160.0,1450.0
24/12/2024,820.0,Red,651.0,2322.0,1550.0
26/12/2024,1368.4,Red,800.0,2501.0,1850.0
27/12/2024,1317.9,Red,991.0,2556.0,2080.0
28/12/2024,1213.5,Red,1001.0,2619.0,2220.0
31/12/2024,1486.4,Red,1200.0,2800.0,2400.0
Market Name : APMC Yawal
15/12/2024,17.5,Red,2750.0,3100.0,2910.0
16/12/2024,70.0,Red,2600.0,3050.0,2850.0
18/12/2024,63.0,Red,2400.0,2850.0,2620.0
19/12/2024,32.0,Red,2350.0,2800.0,2700.0
22/12/2024,30.0,Red,1810.0,2110.0,2020.0
23/12/2024,75.0,Red,1810.0,2110.0,2020.0
24/12/2024,20.0,Red,1600.0,1900.0,1800.0
26/12/2024,50.0,Red,1300.0,1700.0,1600.0
30/12/2024,65.0,Red,1260.0,1650.0,1500.0
31/12/2024,52.5,Red,1210.0,1650.0,1500.0
Market Name : Ahilyanagar APMC
02/12/2024,6437.4,Red,600.0,4800.0,3600.0
05/12/2024,6892.3,Red,700.0,5000.0,3850.0
07/12/2024,5383.8,Red,750.0,5100.0,3900.0
09/12/2024,5882.8,Red,800.0,5400.0,4000.0
12/12/2024,7527.3,Red,500.0,4800.0,3700.0
14/12/2024,8011.0,Other,400.0,3800.0,2750.0
16/12/2024,8628.1,Red,300.0,3000.0,1950.0
19/12/2024,6691.9,Red,400.0,3000.0,1950.0
21/12/2024,5583.2,Red,400.0,3050.0,1950.0
23/12/2024,5984.2,Red,400.0,3000.0,1900.0
26/12/2024,5336.3,Red,400.0,3200.0,2200.0
28/12/2024,4721.5,Red,500.0,3300.0,2300.0
30/12/2024,4861.8,Red,500.0,3500.0,2900.0
Market Name : Akluj APMC
02/12/2024,21.0,Red,1500.0,6500.0,4500.0
08/12/2024,13.5,Red,1000.0,7100.0,4500.0
11/12/2024,11.5,Other,1300.0,8000.0,5000.0
13/12/2024,22.5,Other,1100.0,7100.0,4000.0
15/12/2024,30.5,Red,1500.0,7000.0,4300.0
18/12/2024,84.0,Red,300.0,3610.0,2500.0
22/12/2024,34.0,Red,500.0,6600.0,3500.0
25/12/2024,34.0,Other,400.0,3500.0,1800.0
27/12/2024,26.5,Other,300.0,3000.0,1500.0
29/12/2024,37.5,Red,400.0,5500.0,2500.0
Market Name : Akola APMC
02/12/2024,75.5,Other,2500.0,4000.0,3500.0
03/12/2024,47.5,Other,2500.0,4500.0,3500.0
04/12/2024,131.6,Other,2500.0,4500.0,3500.0
05/12/2024,86.1,Other,2500.0,4500.0,3500.0
07/12/2024,73.3,Other,2500.0,4500.0,3500.0
09/12/2024,109.0,Other,2500.0,4500.0,3500.0
10/12/2024,18.0,Other,2500.0,4000.0,3500.0
11/12/2024,61.0,Other,2500.0,4000.0,3500.0
12/12/2024,32.2,Other,2500.0,4000.0,3000.0
13/12/2024,101.5,Other,2500.0,4500.0,3500.0
14/12/2024,136.6,Other,2500.0,4000.0,3000.0
16/12/2024,150.2,Other,2500.0,3500.0,3000.0
17/12/2024,51.0,Other,2000.0,3200.0,2500.0
18/12/2024,81.0,Other,1500.0,3000.0,2600.0
19/12/2024,91.0,Other,2000.0,3000.0,2500.0
20/12/2024,62.0,Other,1500.0,2600.0,2000.0
21/12/2024,9.6,Other,2000.0,2500.0,2200.0
23/12/2024,92.5,Other,1500.0,2500.0,2000.0
24/12/2024,110.0,Other,1500.0,2500.0,2000.0
25/12/2024,75.0,Other,1500.0,2500.0,2000.0
26/12/2024,17.0,Other,800.0,2500.0,2000.0
27/12/2024,41.0,Other,1000.0,2500.0,2000.0
28/12/2024,27.0,Other,1500.0,2800.0,2000.0
30/12/2024,76.0,Other,1500.0,3200.0,2500.0
31/12/2024,48.5,Other,2000.0,3200.0,2500.0
Market Name : Akole APMC
05/12/2024,10.3,Other,1000.0,5711.0,4700.0
08/12/2024,6.4,Other,1100.0,6100.0,4500.0
15/12/2024,16.5,Other,1001.0,4201.0,3501.0
Market Name : Amrawati(Frui & Veg. Market) APMC
01/12/2024,25.8,Red,1600.0,5000.0,3300.0
02/12/2024,30.2,Red,1000.0,5200.0,3100.0
03/12/2024,27.0,Red,1500.0,5000.0,3250.0
04/12/2024,18.9,Red,1500.0,5200.0,3350.0
06/12/2024,21.9,Red,1500.0,5000.0,3250.0
07/12/2024,24.9,Red,1500.0,5200.0,3350.0
08/12/2024,46.5,Red,2000.0,4000.0,3000.0
09/12/2024,51.0,Red,1000.0,4000.0,2500.0
10/12/2024,46.5,Red,1000.0,4000.0,2500.0
11/12/2024,45.0,Red,1000.0,3000.0,2000.0
13/12/2024,36.9,Red,1000.0,3800.0,2400.0
14/12/2024,40.5,Red,1500.0,3800.0,2650.0
15/12/2024,46.8,Red,2500.0,3000.0,2750.0
16/12/2024,43.6,Red,1000.0,3200.0,2100.0
17/12/2024,40.0,Red,1000.0,3000.0,2000.0
18/12/2024,45.0,Red,1000.0,3200.0,2100.0
20/12/2024,39.0,Red,1000.0,2800.0,1900.0
21/12/2024,40.8,Red,1000.0,3000.0,2000.0
22/12/2024,37.5,Red,1300.0,2500.0,1900.0
23/12/2024,34.5,Red,1200.0,2400.0,1800.0
24/12/2024,33.9,Red,800.0,2500.0,1650.0
27/12/2024,45.0,Red,700.0,2100.0,1400.0
28/12/2024,51.0,Red,600.0,2000.0,1300.0
29/12/2024,43.5,Red,700.0,2100.0,1400.0
30/12/2024,47.4,Red,700.0,2100.0,1400.0
31/12/2024,44.4,Red,800.0,2000.0,1400.0
Market Name : Baramati APMC
02/12/2024,37.6,Red,2500.0,6800.0,5000.0
04/12/2024,52.6,Red,2500.0,6870.0,4900.0
07/12/2024,32.2,Red,2000.0,6600.0,4500.0
09/12/2024,32.2,Red,1000.0,5501.0,3500.0
11/12/2024,23.5,Red,1000.0,6900.0,3800.0
14/12/2024,44.5,Red,2500.0,6700.0,5000.0
16/12/2024,17.6,Red,2000.0,6000.0,4500.0
18/12/2024,38.5,Red,1000.0,5100.0,3500.0
21/12/2024,40.7,Red,750.0,3050.0,2100.0
23/12/2024,23.5,Red,700.0,2970.0,2000.0
25/12/2024,31.0,Red,1000.0,3300.0,2500.0
28/12/2024,37.1,Red,1000.0,3600.0,2500.0
30/12/2024,44.9,Red,1000.0,4000.0,2400.0
Market Name : Bhusaval APMC
03/12/2024,1.8,Red,3500.0,4000.0,3800.0
04/12/2024,2.0,Red,3000.0,4000.0,3500.0
05/12/2024,1.0,Red,3300.0,4000.0,3500.0
06/12/2024,0.8,Red,3000.0,3500.0,3300.0
07/12/2024,1.1,Red,3000.0,4000.0,3500.0
08/12/2024,1.6,Red,2500.0,3200.0,2800.0
10/12/2024,0.8,Red,3300.0,4000.0,3500.0
11/12/2024,0.8,Red,3300.0,4000.0,3500.0
12/12/2024,0.4,Red,3000.0,3500.0,3500.0
13/12/2024,2.0,Red,3000.0,3500.0,3300.0
14/12/2024,1.0,Red,3000.0,3500.0,3300.0
17/12/2024,3.2,Red,2200.0,3000.0,2500.0
18/12/2024,2.0,Red,2200.0,3000.0,2500.0
19/12/2024,1.1,Red,2200.0,3000.0,2500.0
20/12/2024,1.8,Red,2200.0,3000.0,2500.0
21/12/2024,2.4,Red,1500.0,2300.0,2000.0
22/12/2024,1.3,Red,2000.0,3000.0,2200.0
24/12/2024,1.7,Red,2000.0,2500.0,2200.0
25/12/2024,1.5,Red,2000.0,2500.0,2200.0
26/12/2024,1.4,Red,2000.0,2500.0,2200.0
27/12/2024,0.9,Red,2000.0,2500.0,2200.0
28/12/2024,0.4,Red,2000.0,2500.0,2500.0
29/12/2024,1.0,Red,2200.0,3000.0,2500.0
31/12/2024,1.2,Red,2000.0,2500.0,2200.0
Market Name : Chandrapur(Ganjwad) APMC
02/12/2024,68.9,Other,2500.0,5000.0,4000.0
03/12/2024,60.4,Other,2500.0,5000.0,4000.0
04/12/2024,58.9,Other,2000.0,5000.0,3750.0
05/12/2024,28.8,Other,2000.0,5000.0,3750.0
07/12/2024,22.8,Other,1500.0,4500.0,3500.0
10/12/2024,67.2,Other,2000.0,4500.0,3250.0
11/12/2024,47.2,Other,2000.0,4500.0,3250.0
12/12/2024,32.8,Other,2000.0,4500.0,3250.0
13/12/2024,27.8,Other,2000.0,4500.0,3250.0
14/12/2024,33.8,Other,2000.0,4500.0,3250.0
16/12/2024,51.5,Other,2000.0,4500.0,3250.0
18/12/2024,88.5,Other,2500.0,4500.0,3250.0
19/12/2024,73.1,Other,2500.0,4500.0,3250.0
21/12/2024,42.5,Other,2500.0,4500.0,3250.0
23/12/2024,42.3,Red,2500.0,4500.0,3250.0
26/12/2024,26.8,Other,1500.0,2500.0,2000.0
27/12/2024,25.0,Other,1500.0,2500.0,2000.0
31/12/2024,87.7,Other,1500.0,2500.0,2000.0
Market Name : Chattrapati Sambhajinagar APMC
01/12/2024,414.3,Other,700.0,5200.0,2950.0
02/12/2024,93.1,Other,700.0,5000.0,2850.0
03/12/2024,79.9,Other,1200.0,3800.0,2500.0
04/12/2024,59.0,Other,700.0,3000.0,2250.0
05/12/2024,214.9,Other,1000.0,3500.0,2250.0
07/12/2024,57.0,Other,1300.0,4400.0,2850.0
08/12/2024,88.5,Other,1500.0,4600.0,3050.0
09/12/2024,63.2,Other,1300.0,4400.0,2850.0
10/12/2024,135.0,Other,1200.0,3600.0,2400.0
11/12/2024,46.5,Other,1700.0,4000.0,2850.0
12/12/2024,394.8,Other,700.0,4400.0,2550.0
14/12/2024,89.2,Other,1200.0,3700.0,2450.0
15/12/2024,371.4,Other,1200.0,3000.0,2600.0
16/12/2024,254.1,Other,1300.0,3550.0,2425.0
17/12/2024,319.0,Other,1000.0,2700.0,1850.0
18/12/2024,325.0,Other,600.0,2350.0,1475.0
19/12/2024,641.5,Other,700.0,2000.0,1350.0
21/12/2024,621.0,Other,900.0,1900.0,1300.0
22/12/2024,421.3,Other,500.0,2500.0,1500.0
23/12/2024,371.9,Other,1000.0,2200.0,1700.0
24/12/2024,281.8,Other,200.0,2100.0,1150.0
25/12/2024,283.0,Other,500.0,3000.0,1750.0
26/12/2024,691.5,Other,200.0,2800.0,1500.0
28/12/2024,195.0,Other,300.0,2200.0,1250.0
29/12/2024,314.7,Other,500.0,2500.0,1500.0
30/12/2024,294.1,Other,500.0,2500.0,1500.0
31/12/2024,341.0,Other,1200.0,2700.0,1950.0
Market Name : Devala APMC
02/12/2024,356.1,Other,2500.0,4805.0,3500.0
,,Red,1200.0,3800.0,3500.0
03/12/2024,337.8,Red,525.0,4255.0,3600.0
04/12/2024,351.3,Red,405.0,4210.0,3400.0
05/12/2024,320.0,Red,405.0,3905.0,3400.0
06/12/2024,281.1,Red,400.0,3895.0,3400.0
09/12/2024,451.7,Red,560.0,4310.0,3700.0
10/12/2024,474.2,Red,500.0,4280.0,3800.0
11/12/2024,469.0,Red,700.0,4250.0,3800.0
12/12/2024,26.3,Red,700.0,4300.0,3500.0
13/12/2024,487.8,Red,650.0,4375.0,3500.0
16/12/2024,627.0,Red,350.0,2600.0,2200.0
17/12/2024,626.2,Red,500.0,2585.0,2100.0
18/12/2024,492.0,Red,500.0,2500.0,2100.0
19/12/2024,574.0,Red,300.0,2380.0,2000.0
20/12/2024,464.4,Red,300.0,2400.0,2000.0
23/12/2024,468.5,Red,500.0,2200.0,1900.0
24/12/2024,463.1,Red,400.0,2300.0,1800.0
26/12/2024,455.0,Red,500.0,2350.0,1850.0
27/12/2024,423.1,Red,750.0,2405.0,2100.0
