"Date Wise Prices for Specified Commodity on November, 2024 for Commodity : Onion, State/UT : Maharashtra"
"Commodity : Onion, State/UT : Maharashtra"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
Market Name : AGRICULTURE PRODUCE MARKET COMITEE CHANDWAD
05/11/2024,69.1,Other,1000.0,5500.0,5230.0
,,Red,1041.0,4570.0,3310.0
06/11/2024,112.8,Other,2151.0,5700.0,5300.0
,,Red,1001.0,4511.0,3300.0
07/11/2024,127.7,Red,1201.0,4999.0,3500.0
,,Other,2000.0,6001.0,5680.0
08/11/2024,183.8,Other,1503.0,6300.0,6000.0
,,Red,1200.0,5500.0,3600.0
09/11/2024,119.2,Other,2001.0,5950.0,4880.0
,,Red,1101.0,4875.0,3100.0
11/11/2024,147.3,Red,1100.0,5000.0,3400.0
,,Other,1200.0,5695.0,4710.0
12/11/2024,234.2,Red,1011.0,5600.0,3550.0
,,Other,2800.0,5515.0,5200.0
13/11/2024,286.9,Red,1051.0,5900.0,3400.0
,,Other,1700.0,5859.0,5400.0
14/11/2024,170.0,Red,1000.0,5800.0,3250.0
16/11/2024,463.3,Other,2000.0,5555.0,5200.0
,,Red,1001.0,5641.0,3050.0
18/11/2024,318.7,Red,200.0,5801.0,3050.0
,,Other,501.0,5600.0,3161.0
21/11/2024,376.8,Other,1725.0,5556.0,5000.0
,,Red,1502.0,5601.0,3300.0
22/11/2024,405.4,Red,1000.0,5076.0,3550.0
,,Other,1661.0,5301.0,4800.0
23/11/2024,106.2,Other,4000.0,5380.0,4800.0
,,Red,1801.0,4801.0,3700.0
25/11/2024,307.4,Red,1000.0,5401.0,3500.0
26/11/2024,512.8,Red,1851.0,5371.0,3450.0
,,Other,1353.0,5670.0,5000.0
27/11/2024,450.2,Other,2525.0,4551.0,4000.0
,,Red,2525.0,5325.0,3460.0
28/11/2024,500.0,Red,900.0,5801.0,3800.0
Market Name : Ahilyanagar APMC
04/11/2024,4729.3,Red,500.0,4000.0,2600.0
,,Other,2000.0,6000.0,4300.0
07/11/2024,5816.8,Red,1000.0,5000.0,3500.0
,,Other,2200.0,6500.0,4500.0
09/11/2024,5238.4,Other,2000.0,6200.0,4800.0
,,Red,900.0,4800.0,3800.0
11/11/2024,4899.8,Red,500.0,4500.0,3500.0
,,Other,1800.0,6000.0,4600.0
21/11/2024,4390.3,Other,1600.0,5500.0,4000.0
,,Red,500.0,4600.0,3200.0
23/11/2024,3403.7,Red,500.0,5000.0,3300.0
,,Other,1500.0,5600.0,4200.0
25/11/2024,4427.8,Red,500.0,5200.0,3400.0
,,Other,1500.0,5500.0,4100.0
Market Name : Akluj APMC
01/11/2024,11.5,Red,300.0,4400.0,2000.0
03/11/2024,22.0,Red,300.0,5000.0,3000.0
06/11/2024,17.0,Red,500.0,6000.0,2500.0
08/11/2024,21.0,Red,1000.0,7000.0,4000.0
10/11/2024,39.0,Red,1000.0,6000.0,4500.0
13/11/2024,34.0,Other,1000.0,6000.0,4000.0
15/11/2024,35.5,Red,300.0,5500.0,3000.0
17/11/2024,30.5,Other,500.0,5800.0,3500.0
22/11/2024,25.5,Red,1000.0,6500.0,4500.0
24/11/2024,28.5,Red,1000.0,6500.0,4500.0
27/11/2024,28.0,Red,1000.0,6500.0,4000.0
Market Name : Akola APMC
04/11/2024,91.0,Other,1500.0,3500.0,2500.0
05/11/2024,55.5,Other,1500.0,3400.0,2500.0
06/11/2024,28.0,Other,1500.0,4000.0,3400.0
07/11/2024,72.5,Other,1500.0,4000.0,3500.0
08/11/2024,146.0,Other,1500.0,4000.0,2500.0
09/11/2024,31.5,Other,2000.0,4000.0,3000.0
11/11/2024,101.5,Other,1500.0,3700.0,2500.0
12/11/2024,93.0,Other,1500.0,4000.0,3000.0
13/11/2024,113.2,Other,1500.0,4000.0,3000.0
14/11/2024,99.0,Other,1500.0,3800.0,3000.0
15/11/2024,84.0,Other,1500.0,3800.0,2500.0
16/11/2024,65.0,Other,1500.0,3500.0,2500.0
18/11/2024,84.0,Other,1500.0,3000.0,2500.0
21/11/2024,87.0,Other,1500.0,3500.0,2500.0
22/11/2024,67.0,Other,1500.0,4000.0,3000.0
23/11/2024,56.5,Other,1800.0,4500.0,3500.0
25/11/2024,108.5,Other,2000.0,4000.0,3000.0
26/11/2024,104.0,Other,2000.0,4500.0,3500.0
27/11/2024,55.0,Other,2000.0,4100.0,3000.0
28/11/2024,53.0,Other,2500.0,4400.0,3000.0
Market Name : Akole APMC
05/11/2024,7.9,Other,2000.0,5300.0,4900.0
07/11/2024,6.3,Other,1200.0,6001.0,5100.0
10/11/2024,9.4,Other,1001.0,6501.0,5800.0
12/11/2024,12.7,Other,1000.0,5400.0,4800.0
17/11/2024,13.4,Other,1001.0,5701.0,5000.0
19/11/2024,10.6,Other,1200.0,5751.0,4900.0
21/11/2024,9.6,Other,1200.0,6000.0,5200.0
24/11/2024,3.0,Other,1000.0,5851.0,5000.0
26/11/2024,13.1,Other,1000.0,5555.0,4000.0
Market Name : Amrawati(Frui & Veg. Market) APMC
02/11/2024,15.0,Red,1500.0,4500.0,3000.0
03/11/2024,30.9,Red,800.0,3500.0,2150.0
04/11/2024,45.0,Red,1000.0,3500.0,2250.0
05/11/2024,51.0,Red,1200.0,3600.0,2400.0
06/11/2024,46.5,Red,1000.0,3500.0,2250.0
08/11/2024,31.6,Red,1500.0,5500.0,3500.0
09/11/2024,33.8,Red,1000.0,5200.0,3100.0
10/11/2024,36.0,Red,1500.0,5500.0,3500.0
11/11/2024,36.9,Red,1500.0,5200.0,3350.0
12/11/2024,28.5,Red,2000.0,5500.0,3750.0
13/11/2024,37.8,Red,1500.0,5200.0,3350.0
15/11/2024,30.9,Red,1500.0,5700.0,3600.0
16/11/2024,36.0,Red,1500.0,5600.0,3550.0
17/11/2024,111.0,Red,1500.0,5700.0,3600.0
18/11/2024,34.5,Red,1000.0,4800.0,2900.0
19/11/2024,36.0,Red,1000.0,5000.0,3000.0
22/11/2024,46.5,Red,1000.0,4000.0,2500.0
23/11/2024,42.0,Red,1200.0,3800.0,2500.0
24/11/2024,47.4,Red,1000.0,3800.0,2400.0
25/11/2024,16.8,Red,1500.0,5000.0,3250.0
26/11/2024,0.3,Red,1000.0,5000.0,3000.0
27/11/2024,22.8,Red,1200.0,4800.0,3000.0
Market Name : Baramati APMC
02/11/2024,50.5,Red,2000.0,4600.0,3500.0
04/11/2024,36.1,Red,2000.0,4800.0,3600.0
06/11/2024,72.6,Red,2000.0,6300.0,4500.0
09/11/2024,102.3,Red,3000.0,6500.0,5000.0
11/11/2024,82.5,Red,2000.0,6600.0,5000.0
13/11/2024,99.4,Red,2000.0,6251.0,4500.0
16/11/2024,100.6,Red,2000.0,6100.0,4500.0
18/11/2024,80.4,Red,2000.0,5900.0,4000.0
23/11/2024,37.3,Red,1501.0,6701.0,3200.0
25/11/2024,50.9,Red,2000.0,6800.0,5500.0
27/11/2024,46.9,Red,2000.0,6610.0,4500.0
Market Name : Bhusaval APMC
02/11/2024,0.5,Red,3000.0,3500.0,3200.0
03/11/2024,2.5,Red,2500.0,3200.0,2800.0
05/11/2024,0.7,Red,3000.0,3500.0,3300.0
06/11/2024,0.2,Red,3500.0,3500.0,3500.0
07/11/2024,1.3,Red,3000.0,3500.0,3300.0
