"Date Wise Prices for Specified Commodity on October, 2024 for Commodity : Onion, State/UT : Maharashtra"
"Commodity : Onion, State/UT : Maharashtra"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
Market Name : AGRICULTURE PRODUCE MARKET COMITEE CHANDWAD
01/10/2024,120.0,Other,1152.0,4375.0,3950.0
02/10/2024,105.9,Other,1152.0,4375.0,3980.0
03/10/2024,79.1,Other,2305.0,4770.0,4530.0
04/10/2024,147.7,Other,2001.0,4725.0,4550.0
05/10/2024,200.0,Other,2000.0,4570.0,4330.0
09/10/2024,181.9,Other,1425.0,4451.0,4150.0
10/10/2024,154.5,Other,1000.0,4296.0,4100.0
11/10/2024,200.0,Other,2203.0,4400.0,4160.0
14/10/2024,129.8,Other,1700.0,4699.0,4230.0
15/10/2024,193.7,Other,2000.0,4450.0,4030.0
16/10/2024,212.9,Other,1500.0,4450.0,3980.0
17/10/2024,160.8,Other,1300.0,4576.0,3800.0
18/10/2024,192.4,Other,2100.0,4550.0,4250.0
19/10/2024,132.7,Other,1000.0,4401.0,4050.0
21/10/2024,107.4,Other,1200.0,4751.0,4330.0
22/10/2024,113.9,Other,3200.0,4949.0,4630.0
23/10/2024,142.6,Other,2500.0,4900.0,4470.0
,,Red,1100.0,3000.0,2500.0
24/10/2024,149.4,Other,2670.0,4951.0,4400.0
,,Red,501.0,2601.0,2000.0
25/10/2024,164.4,Other,1200.0,4926.0,4380.0
,,Red,501.0,2601.0,2000.0
26/10/2024,150.6,Other,2301.0,4940.0,4100.0
,,Red,625.0,3401.0,3401.0
28/10/2024,175.9,Other,1501.0,4900.0,4250.0
,,Red,500.0,3250.0,2250.0
Market Name : Ahilyanagar APMC
03/10/2024,2258.3,Other,1000.0,4500.0,3650.0
,,Red,500.0,3600.0,2200.0
05/10/2024,2573.2,Other,1000.0,4700.0,3600.0
,,Red,500.0,3600.0,2500.0
10/10/2024,3412.2,Other,800.0,4500.0,3400.0
,,Red,500.0,3500.0,2300.0
12/10/2024,3600.4,Red,300.0,3500.0,2300.0
,,Other,1000.0,4500.0,3400.0
14/10/2024,3314.1,Red,300.0,3600.0,2400.0
,,Other,1000.0,4500.0,3400.0
19/10/2024,3648.1,Other,1500.0,4700.0,3600.0
,,Red,500.0,4200.0,3000.0
24/10/2024,5091.0,Other,1500.0,5000.0,3800.0
,,Red,400.0,4000.0,2700.0
26/10/2024,6549.1,Other,1500.0,4800.0,3600.0
,,Red,300.0,3900.0,2600.0
Market Name : Akluj APMC
09/10/2024,11.5,Red,500.0,4200.0,2500.0
11/10/2024,11.0,Red,500.0,4000.0,2000.0
13/10/2024,19.5,Red,500.0,4300.0,2000.0
16/10/2024,25.1,Red,500.0,4800.0,3000.0
24/10/2024,24.5,Red,600.0,4500.0,2800.0
27/10/2024,33.5,Red,500.0,4500.0,3000.0
Market Name : Akola APMC
01/10/2024,97.0,Other,1500.0,3800.0,3400.0
03/10/2024,60.0,Other,1500.0,3500.0,2500.0
04/10/2024,66.5,Other,1000.0,3600.0,3000.0
05/10/2024,55.0,Other,1000.0,3500.0,3000.0
07/10/2024,41.0,Other,1500.0,3500.0,2500.0
09/10/2024,20.5,Other,1500.0,3000.0,2500.0
10/10/2024,85.0,Other,1500.0,3000.0,2500.0
