"Date Wise Prices for Specified Commodity on September, 2024 for Commodity : Onion, State/UT : Maharashtra"
"Commodity : Onion, State/UT : Maharashtra"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
Market Name : AGRICULTURE PRODUCE MARKET COMITEE CHANDWAD
03/09/2024,220.0,Other,2502.0,4502.0,4280.0
04/09/2024,611.0,Other,1500.0,4399.0,3900.0
05/09/2024,585.6,Other,2201.0,4175.0,3820.0
06/09/2024,433.1,Other,1651.0,4151.0,3800.0
07/09/2024,133.7,Other,1100.0,4021.0,3780.0
09/09/2024,352.3,Other,1181.0,4101.0,3700.0
10/09/2024,303.2,Other,1787.0,4041.0,3810.0
11/09/2024,277.4,Other,1501.0,4251.0,3930.0
12/09/2024,251.5,Other,1200.0,4292.0,3950.0
13/09/2024,307.6,Other,1530.0,4350.0,4050.0
14/09/2024,230.0,Other,1500.0,4699.0,4400.0
16/09/2024,320.0,Other,1260.0,4845.0,4600.0
18/09/2024,320.0,Other,1500.0,4590.0,4330.0
20/09/2024,229.2,Other,2000.0,4790.0,4570.0
21/09/2024,180.9,Other,1502.0,4700.0,4550.0
23/09/2024,158.7,Other,1970.0,4799.0,4550.0
24/09/2024,220.0,Other,2014.0,4880.0,4700.0
26/09/2024,260.7,Other,1500.0,4700.0,4480.0
27/09/2024,211.1,Other,1901.0,4638.0,4320.0
28/09/2024,195.1,Other,1011.0,4375.0,4180.0
30/09/2024,123.2,Other,1176.0,4150.0,3710.0
Market Name : APMC Yawal
21/09/2024,16.0,Red,4600.0,5800.0,5100.0
Market Name : Ahilyanagar APMC
02/09/2024,2094.1,Other,1500.0,4400.0,3700.0
05/09/2024,4444.6,Other,1500.0,4200.0,3600.0
07/09/2024,3115.5,Other,1500.0,4300.0,3600.0
12/09/2024,2690.2,Other,1200.0,4300.0,3650.0
14/09/2024,2762.7,Other,1500.0,5200.0,4000.0
19/09/2024,2130.2,Other,1500.0,4700.0,3900.0
